canonical_security_id,stock_code,name_cn,name_en,shanghai_connect,shenzhen_connect,eligibility_status
HKEX:00800,00800,文远知行－Ｗ,WERIDE-W,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00811,00811,新华文轩,XINHUA WINSHARE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00817,00817,中国金茂,CHINA JINMAO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00819,00819,天能动力,TIANNENG POWER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00826,00826,天工国际,TIANGONG INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00836,00836,华润电力,CHINA RES POWER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00839,00839,中教控股,CHINA EDU GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00853,00853,微创医疗,MICROPORT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00855,00855,中国水务,CHINA WATER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00856,00856,伟仕佳杰,VSTECS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00857,00857,中国石油股份,PETROCHINA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00867,00867,康哲药业,CMS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00868,00868,信义玻璃,XINYI GLASS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00874,00874,白云山,BAIYUNSHAN PH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00880,00880,澳博控股,SJM HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00881,00881,中升控股,ZHONGSHENG HLDG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00883,00883,中国海洋石油,CNOOC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00895,00895,东江环保,DONGJIANG ENV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00902,00902,华能国际电力股份,HUANENG POWER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00909,00909,明源云,MING YUAN CLOUD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00914,00914,海螺水泥,CONCH CEMENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00916,00916,龙源电力,CHINA LONGYUAN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00917,00917,趣致集团,QUNABOX GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00921,00921,海信家电,HISENSE HA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00934,00934,中石化冠德,SINOPEC KANTONS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00939,00939,建设银行,CCB,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00941,00941,中国移动,CHINA MOBILE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00956,00956,新天绿色能源,CHINA SUNTIEN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00960,00960,龙湖集团,LONGFOR GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00966,00966,中国太平,CHINA TAIPING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00968,00968,信义光能,XINYI SOLAR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00975,00975,,MONGOL MINING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00981,00981,中芯国际,SMIC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00990,00990,至源控股,DEEP SOURCE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00991,00991,大唐发电,DATANG POWER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00992,00992,联想集团,LENOVO GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00995,00995,安徽皖通高速公路,ANHUIEXPRESSWAY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00998,00998,中信银行,CITIC BANK,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00999,00999,小菜园,XIAOCAIYUAN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01024,01024,快手－Ｗ,KUAISHOU-W,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01030,01030,新城发展,SEAZEN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01033,01033,中石化油服,SINOPEC SSC,True,True,BUY_AND_SELL_ELIGIBLE
