security_id,security_code,security_name,historical_core20,historical_lifecycle_state,workplan_lane,strategy_sleeve,core20_review_disposition,proposed_candidate_route,proposed_lifecycle_state,research_id,research_lifecycle_state,research_decision_grade,thesis_id,thesis_status,valuation_id,valuation_status,entry_baseline_id,entry_baseline_status,portfolio_role,benchmark,research_gap_count,ready_for_user_decision,buy_signal,real_account_permission,simulation_admission_permission,candidate_state_change_requires_human_merge,trade_authority,semantic_hash
300760.SZ,300760,迈瑞医疗,True,CANDIDATE_CORE,CORE20_MANDATORY_REVIEW,QUALITY_GROWTH,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,WP3-5-RSCH-300760.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300760.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-300760.SZ,RESEARCH_GRADE,WP3-5-ENTRY-300760.SZ,MISSING,医疗器械全球化,沪深300医药卫生指数,5,False,NO,False,False,True,NONE,6caa5928286260798d310bb3de9b71f28cb1019cc89f5954509d079553a8e16f
300797.SZ,300797,钢研纳克,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300797.SZ,IDEA,False,WP3-5-TH-300797.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300797.SZ,DRAFT,WP3-5-ENTRY-300797.SZ,MISSING,,,5,False,NO,False,False,True,NONE,986c2cb1b1644fabf6477ef0ea2aae6fc7cc98751b6ffd94ecdf10713bb19418
300859.SZ,300859,西域旅游,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300859.SZ,IDEA,False,WP3-5-TH-300859.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300859.SZ,DRAFT,WP3-5-ENTRY-300859.SZ,MISSING,,,5,False,NO,False,False,True,NONE,e2e989c4950c80ea1696c2bb2cff784c8566da5f8f0bc9d134693984f1d3af11
300873.SZ,300873,海晨股份,False,NONE,C_WATCH_AND_EVIDENCE_FILL,DEFENSIVE_INFRA_YIELD,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300873.SZ,IDEA,False,WP3-5-TH-300873.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300873.SZ,DRAFT,WP3-5-ENTRY-300873.SZ,MISSING,,,5,False,NO,False,False,True,NONE,d50a5343c07204427c4078ccee7509c7eafc5d2ae245df9c79494ca1f673aa98
300938.SZ,300938,信测标准,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300938.SZ,TRIAGE,False,WP3-5-TH-300938.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300938.SZ,DRAFT,WP3-5-ENTRY-300938.SZ,MISSING,,,5,False,NO,False,False,True,NONE,1459daff5a9a787cf2d2dda86eca0b4812fc86f82ca5f6a70483fb14f7886707
300970.SZ,300970,华绿生物,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300970.SZ,IDEA,False,WP3-5-TH-300970.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300970.SZ,DRAFT,WP3-5-ENTRY-300970.SZ,MISSING,,,5,False,NO,False,False,True,NONE,273a38861476fdb4132f1e8db20422ec7e26331fe9ff331bc1494ae54b500cf1
300972.SZ,300972,万辰集团,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-300972.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300972.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300972.SZ,DRAFT,WP3-5-ENTRY-300972.SZ,MISSING,,,5,False,NO,False,False,True,NONE,4486c98fcfdd7b77affe8b059a816acd59a778081a6779e6636014e6e23dc30e
301109.SZ,301109,军信股份,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-301109.SZ,TRIAGE,False,WP3-5-TH-301109.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-301109.SZ,DRAFT,WP3-5-ENTRY-301109.SZ,MISSING,,,5,False,NO,False,False,True,NONE,5df346c133fd13457f157be7d9b557e1a6e6f5bdd02b2386756ba6615dc3dd55
301215.SZ,301215,中汽股份,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-301215.SZ,TRIAGE,False,WP3-5-TH-301215.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-301215.SZ,DRAFT,WP3-5-ENTRY-301215.SZ,MISSING,,,5,False,NO,False,False,True,NONE,02d12ff50809dbf3d7f29eb9f16f58974760c6b13b08f72e3f0b3aeb66ba53b4
301230.SZ,301230,泓博医药,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-301230.SZ,IDEA,False,WP3-5-TH-301230.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-301230.SZ,DRAFT,WP3-5-ENTRY-301230.SZ,MISSING,,,5,False,NO,False,False,True,NONE,e451afbf19c3bbbd593a75d109b775eb2c0febb7eaf5620b00abd8726599b650
