security_id,security_code,security_name,workplan_lane,gap_id,priority,candidate_route_blocked,trade_authority
600036.SH,600036,招商银行,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600036.SH,600036,招商银行,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600276.SH,600276,恒瑞医药,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600309.SH,600309,万华化学,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600406.SH,600406,国电南瑞,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600519.SH,600519,贵州茅台,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600660.SH,600660,福耀玻璃,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600690.SH,600690,海尔智家,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600900.SH,600900,长江电力,CORE20_MANDATORY_REVIEW,CURRENT_SOURCE_REFRESH_REQUIRED,P0,False,NONE
600900.SH,600900,长江电力,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,False,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
600938.SH,600938,中国海油,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600941.SH,600941,中国移动,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600941.SH,600941,中国移动,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
600941.SH,600941,中国移动,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
600941.SH,600941,中国移动,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
601088.SH,601088,中国神华,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
601088.SH,601088,中国神华,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
601088.SH,601088,中国神华,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
601088.SH,601088,中国神华,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
601138.SH,601138,工业富联,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,FINANCIAL_SECTOR_PACK_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
601318.SH,601318,中国平安,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
