source_id,source_name,source_type,owner_or_provider,period_covered,as_of_date,retrieved_at,file_tab_page_url_or_location,source_rank,freshness_status,notes,trade_authority,route_id,statement,status
SRC-EASTMONEY_STATEMENTS-300750-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:15+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=38; cols=319; elapsed=7.8703; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-300750-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:22+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=40; cols=203; elapsed=6.7274; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-300750-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:30+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=40; cols=254; elapsed=8.2306; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-300750-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:32+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=38; cols=147; elapsed=1.4847; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-300750-INCOME_STATEMENT,SINA_STATEMENTS income_statement 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:36+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=40; cols=83; elapsed=3.9178; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-300750-CASH_FLOW,SINA_STATEMENTS cash_flow 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:37+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=40; cols=71; elapsed=1.0034; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-688981,CNINFO periodic reports for 688981.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:53:26+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=72; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-688981-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:35+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=319; elapsed=9.7856; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-688981-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:43+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=203; elapsed=7.8471; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-688981-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:51+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=254; elapsed=7.5983; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-688981-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:54+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=147; elapsed=2.7509; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-688981-INCOME_STATEMENT,SINA_STATEMENTS income_statement 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:56+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=83; elapsed=2.2576; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-688981-CASH_FLOW,SINA_STATEMENTS cash_flow 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:57+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=71; elapsed=1.0134; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-835185,CNINFO periodic reports for 835185.BJ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:53:57+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=64; error=,NONE,,,
SRC-CNINFO-601318,CNINFO periodic reports for 601318.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:54:07+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=90; error=,NONE,,,
