as_of_date,overall_rank,research_priority,security_id,stock_code_5d,official_security_name_en,research_stage,research_decision,decision_reason,candidate_pool_admission,simulation_admission,real_account_admission,order_generation,trade_authority
2026-07-21,47,B_WATCH_OR_TRIGGER,HKEX:03939,03939,WANGUO GOLD GP,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,48,B_WATCH_OR_TRIGGER,HKEX:01999,01999,MAN WAH HLDGS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,49,B_WATCH_OR_TRIGGER,HKEX:00788,00788,CHINA TOWER,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,50,B_WATCH_OR_TRIGGER,HKEX:06127,06127,JOINN,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,51,B_WATCH_OR_TRIGGER,HKEX:02666,02666,UNI MEDICAL,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,52,B_WATCH_OR_TRIGGER,HKEX:01368,01368,XTEP INT'L,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,53,B_WATCH_OR_TRIGGER,HKEX:01070,01070,TCL ELECTRONICS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,54,B_WATCH_OR_TRIGGER,HKEX:00019,00019,SWIRE PACIFIC A,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,55,B_WATCH_OR_TRIGGER,HKEX:00293,00293,CATHAY PAC AIR,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,56,B_WATCH_OR_TRIGGER,HKEX:02400,02400,XD INC,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,57,B_WATCH_OR_TRIGGER,HKEX:03877,03877,CSSC SHIPPING,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,58,B_WATCH_OR_TRIGGER,HKEX:00066,00066,MTR CORPORATION,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,59,B_WATCH_OR_TRIGGER,HKEX:00992,00992,LENOVO GROUP,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,60,B_WATCH_OR_TRIGGER,HKEX:02145,02145,CHICMAX,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,61,C_SCREEN_FLAG_ONLY,HKEX:03759,03759,PHARMARON,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,62,C_SCREEN_FLAG_ONLY,HKEX:09696,09696,TIANQI LITHIUM,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,63,C_SCREEN_FLAG_ONLY,HKEX:01112,01112,H&H INTL HLDG,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,64,C_SCREEN_FLAG_ONLY,HKEX:00659,00659,CTF SERVICES,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,65,C_SCREEN_FLAG_ONLY,HKEX:01109,01109,CHINA RES LAND,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,66,C_SCREEN_FLAG_ONLY,HKEX:01681,01681,CONSUN PHARMA,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,67,C_SCREEN_FLAG_ONLY,HKEX:01997,01997,WHARF REIC,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,68,C_SCREEN_FLAG_ONLY,HKEX:00902,00902,HUANENG POWER,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,69,C_SCREEN_FLAG_ONLY,HKEX:00917,00917,QUNABOX GROUP,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,70,C_SCREEN_FLAG_ONLY,HKEX:00288,00288,WH GROUP,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,71,C_SCREEN_FLAG_ONLY,HKEX:00316,00316,OOIL,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,72,C_SCREEN_FLAG_ONLY,HKEX:01186,01186,CHINA RAIL CONS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,73,C_SCREEN_FLAG_ONLY,HKEX:01318,01318,MAO GEPING,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,74,C_SCREEN_FLAG_ONLY,HKEX:00152,00152,SHENZHEN INT'L,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,75,C_SCREEN_FLAG_ONLY,HKEX:00939,00939,CCB,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,76,C_SCREEN_FLAG_ONLY,HKEX:00386,00386,SINOPEC CORP,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,77,C_SCREEN_FLAG_ONLY,HKEX:02099,02099,CHINAGOLDINTL,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,78,C_SCREEN_FLAG_ONLY,HKEX:03328,03328,BANKCOMM,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,79,C_SCREEN_FLAG_ONLY,HKEX:01208,01208,MMG,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,80,C_SCREEN_FLAG_ONLY,HKEX:01773,01773,TIANLI INT HLDG,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,81,C_SCREEN_FLAG_ONLY,HKEX:00308,00308,CHINA TRAVEL HK,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,82,C_SCREEN_FLAG_ONLY,HKEX:01364,01364,GUMING,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,83,C_SCREEN_FLAG_ONLY,HKEX:00762,00762,CHINA UNICOM,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,84,C_SCREEN_FLAG_ONLY,HKEX:01801,01801,INNOVENT BIO,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,85,C_SCREEN_FLAG_ONLY,HKEX:06160,06160,BEONE MEDICINES,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,86,C_SCREEN_FLAG_ONLY,HKEX:09911,09911,NEWBORNTOWN,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,87,C_SCREEN_FLAG_ONLY,HKEX:02799,02799,CITIC FAMC,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,88,C_SCREEN_FLAG_ONLY,HKEX:06098,06098,CG SERVICES,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,89,C_SCREEN_FLAG_ONLY,HKEX:02157,02157,LEPU BIO,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,90,C_SCREEN_FLAG_ONLY,HKEX:02314,02314,LEE & MAN PAPER,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,91,C_SCREEN_FLAG_ONLY,HKEX:01088,01088,CHINA SHENHUA,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,92,C_SCREEN_FLAG_ONLY,HKEX:02607,02607,SH PHARMA,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,93,C_SCREEN_FLAG_ONLY,HKEX:03311,03311,CHINA STATE CON,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,94,C_SCREEN_FLAG_ONLY,HKEX:01347,01347,HUA HONG GRACE,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,95,C_SCREEN_FLAG_ONLY,HKEX:02232,02232,CRYSTAL INTL,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,96,C_SCREEN_FLAG_ONLY,HKEX:00836,00836,CHINA RES POWER,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,97,C_SCREEN_FLAG_ONLY,HKEX:00013,00013,HUTCHMED,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,98,C_SCREEN_FLAG_ONLY,HKEX:00392,00392,BEIJING ENT,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,99,C_SCREEN_FLAG_ONLY,HKEX:01083,01083,TG SMART ENERGY,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,100,C_SCREEN_FLAG_ONLY,HKEX:02688,02688,ENN ENERGY,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
