security_id,stock_code_5d,review_type,evidence_status,detail
HKEX:01385,01385,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01398,01398,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01456,01456,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01513,01513,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01528,01528,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01618,01618,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01635,01635,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01658,01658,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01688,01688,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01766,01766,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
