security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:00762,HKEX-ISSUER:de568f3166189e5c,00762,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00763,HKEX-ISSUER:6980487b2e30b475,00763,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00772,HKEX-ISSUER:b038d95cd93e2c97,00772,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00780,HKEX-ISSUER:fb0f957514a0840e,00780,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00788,HKEX-ISSUER:a2731b80972dd8c6,00788,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00800,HKEX-ISSUER:1abb1b518194915b,00800,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00811,HKEX-ISSUER:8321e2a6cc077483,00811,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00817,HKEX-ISSUER:19754862f63b5046,00817,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00819,HKEX-ISSUER:9e9749edfedad7bf,00819,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00826,HKEX-ISSUER:975fb01c4b2d6f4e,00826,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00836,HKEX-ISSUER:a3ce9fa2998c67b9,00836,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00839,HKEX-ISSUER:0d73112047e1f165,00839,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00853,HKEX-ISSUER:e4c9fbac6708221e,00853,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00855,HKEX-ISSUER:766ab0026c790a7c,00855,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00856,HKEX-ISSUER:82738300d8971a8d,00856,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
