previous_date,current_date,symbol,name,previous_rank,current_rank,rank_change,previous_priority,current_priority,previous_primary_sleeve,current_primary_sleeve
2026-07-13,2026-07-14,601668.SH,中国建筑,49,59,-10,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601818.SH,光大银行,9,10,-1,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601928.SH,凤凰传媒,64,63,1,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601939.SH,建设银行,83,77,6,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601985.SH,XD中国核,42,38,4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,603065.SH,宿迁联盛,33,28,5,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,603139.SH,康惠股份,78,33,45,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,603156.SH,养元饮品,52,45,7,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,603223.SH,恒通股份,31,22,9,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,603268.SH,松发股份,38,9,29,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,603301.SH,振德医疗,59,55,4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,603669.SH,灵康药业,51,36,15,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,603823.SH,百合花,22,24,-2,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,603893.SH,瑞芯微,54,72,-18,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
