factor_id,sector_profile,factor_status,valid_or_warning_count,profile_symbol_count,coverage_ratio,minimum,q001,q01,median,q99,q999,maximum,mad,peer_group_method,industry_neutral,authority,trade_authority
FIN_NET_MARGIN_PARENT_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5008,5104,0.9811912225705329,-28.545589220853497,-7.786075400065454,-1.404107034103505,0.036248489799817714,0.4686687027622493,4.926460225563639,56.65133825203069,0.06070101330526688,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5008,5104,0.9811912225705329,-19.524180282728594,-7.300276803792026,-1.4366040867199894,0.04577636534455881,0.5523841357653247,7.361546567682422,84.14100415255697,0.06980227449933943,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,4900,5104,0.9600313479623824,-17.464906860946517,-3.844061893838544,-0.8980973718548199,-0.003605021021091825,0.9121013431403081,9.926164928005857,22.395930618080772,0.036463033451049454,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_CAGR_3Y,BANK,DEFERRED_HISTORY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_CAGR_3Y,GENERAL_NON_FINANCIAL,DEFERRED_HISTORY,0,5104,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_CAGR_3Y,INSURANCE,DEFERRED_HISTORY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
