statement,source_item_code,source_item_name,occurrence_count
balance_sheet,002002006,交易性金融负债,18
balance_sheet,003015015,职工薪酬及福利(非流动),18
balance_sheet,001001027,可收回税项,18
income_statement,001003008,保险业务收入,18
balance_sheet,003007005,应付关联方款项(流动),18
balance_sheet,003002012,客户垫款,17
income_statement,001010003,出售资产之溢利,17
income_statement,003011997,除税前溢利其他项目,17
income_statement,001011997,除税前溢利其他项目,17
balance_sheet,003001026,贷款及垫款(非流动),16
balance_sheet,003001025,衍生金融工具-资产,16
cash_flow,002013,持作买卖投资(增加)减少,16
balance_sheet,002001021,可收回税项,16
income_statement,002007010,投资支出,16
income_statement,003015004,永久资本证券持有人应占溢利,16
income_statement,003040004,永久资本证券持有人应占全面收益总额,16
income_statement,001005001,行政支出,16
balance_sheet,001001030,存放中央银行款项,16
balance_sheet,003015006,递延收入(非流动),15
balance_sheet,001001029,合营公司权益,15
cash_flow,007014,已收利息(融资),14
balance_sheet,003002006,应收关联方款项,14
balance_sheet,001001028,预付款按金及其他应收款,13
balance_sheet,003025008,汇兑储备,12
balance_sheet,003025007,重估储备,12
balance_sheet,004011018,财务担保合同及负债(流动),12
income_statement,004005997,毛利其他项目,12
balance_sheet,004030008,汇兑储备,12
balance_sheet,001001004,交易用途资产,12
balance_sheet,003001010,预付款项,12
balance_sheet,001002018,保险负债,12
income_statement,001005002,折旧摊销,12
income_statement,001005003,员工薪酬,12
income_statement,001003002,外汇交易净收入,12
income_statement,004027001,股息,11
balance_sheet,003007012,拨备(流动),11
balance_sheet,001011997,股东权益其他项目,11
balance_sheet,002009997,归属于母公司股东权益其他项目,11
balance_sheet,003015016,应付票据(非流动),10
balance_sheet,002001023,应收投资收益,9
balance_sheet,002002018,客户存款及保证金,9
balance_sheet,003002009,受限制存款及现金,9
balance_sheet,003025003,股本溢价,9
balance_sheet,002009013,永久资本证券,9
income_statement,004001997,营运收入其他项目,8
income_statement,002003003,佣金收入,8
income_statement,002007006,提取保险责任准备金,8
balance_sheet,003027001,其他权益,8
balance_sheet,003007002,应付票据,8
balance_sheet,001001006,香港特区政府负债证明书,8
balance_sheet,001002003,香港特区政府流通纸币,8
income_statement,001025004,永久资本证券持有人应占溢利,8
income_statement,001040004,永久资本证券持有人应占全面收益总额,8
balance_sheet,001009011,外币报表折算差额,8
balance_sheet,001001017,土地使用权,8
balance_sheet,004030014,外币报表折算差额,7
balance_sheet,003001007,土地使用权,6
balance_sheet,003007007,递延收入(流动),6
balance_sheet,003015008,拨备(非流动),6
balance_sheet,003025011,外币报表折算差额,6
balance_sheet,002001022,于合营公司投资,6
balance_sheet,002002005,投资合同,6
balance_sheet,001001003,贸易票据,6
income_statement,001010997,经营溢利其他项目,6
income_statement,003011004,按公平价值列账的金融资产公平值增加/减少,6
balance_sheet,003001028,存款,6
balance_sheet,003002002,发展中及待售物业,6
income_statement,003010997,经营溢利其他项目,6
balance_sheet,003015011,交易性金融负债,6
balance_sheet,003025015,永久资本证券,6
balance_sheet,002001018,受限制存款及现金,6
balance_sheet,001001024,可供出售投资,6
balance_sheet,003007009,预收款项,5
balance_sheet,001002015,应付利息,5
balance_sheet,003002019,可供出售投资(流动),5
income_statement,004040003,优先股股东应占全面收益总额,5
balance_sheet,004020015,财务担保合同及负债(非流动),5
income_statement,002014004,永久资本证券持有人应占溢利,5
income_statement,002040004,永久资本证券持有人应占全面收益总额,5
income_statement,003012997,除税后溢利其他项目,4
income_statement,004025003,优先股股东应占溢利,4
balance_sheet,001009008,拟派股息,4
balance_sheet,004002019,递延税项资产(流动),4
