symbol,name,shard_id,source_state,attempt_count,source_row_count,normalized_event_count,error_type,error_message,elapsed_seconds,retrieved_at,source_id,source_adapter,authority,trade_authority
002648.SZ,卫星化学,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002728.SZ,特一药业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002737.SZ,葵花药业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002743.SZ,富煌钢构,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002748.SZ,世龙实业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002774.SZ,快意电梯,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002805.SZ,丰元股份,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002820.SZ,桂发祥,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002833.SZ,弘亚数控,0,SUCCESS,4,4,4,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002842.SZ,翔鹭钨业,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002850.SZ,科达利,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002884.SZ,凌霄泵业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002896.SZ,中大力德,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002907.SZ,华森制药,0,SUCCESS,4,4,4,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002911.SZ,佛燃能源,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002931.SZ,锋龙股份,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002969.SZ,嘉美包装,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002984.SZ,森麒麟,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
003006.SZ,百亚股份,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
003012.SZ,东鹏控股,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
003013.SZ,地铁设计,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
003018.SZ,金富科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300027.SZ,ST华谊,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300034.SZ,钢研高纳,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300047.SZ,天源迪科,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300050.SZ,世纪鼎利,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300091.SZ,*ST金灵,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300092.SZ,科新机电,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300146.SZ,汤臣倍健,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300162.SZ,雷曼光电,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300207.SZ,欣旺达,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300228.SZ,富瑞特装,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300237.SZ,ST美晨,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300238.SZ,冠昊生物,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300254.SZ,仟源医药,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300261.SZ,雅本化学,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300269.SZ,联建光电,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300271.SZ,华宇软件,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300298.SZ,三诺生物,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300319.SZ,麦捷科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300323.SZ,华灿光电,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300370.SZ,安控科技,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300434.SZ,金石亚药,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
