security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis,workload_priority_rank
603296,华勤技术,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,88.19,42438359.0,3776330655.0,13371380.702197,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,77
002436,兴森科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,33.8,108963960.0,3747341724.0,5744896.64294,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,78
002432,九安医疗,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,67.58,53737314.0,3700979028.0,3148510.847798,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,79
301536,星宸科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,131.8,27649317.0,3665023412.0,5558206.75776,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,80
600030,中信证券,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,27.95,129621942.0,3651964574.0,41423428.387055,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,81
603228,景旺电子,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,74.6,48157563.0,3624032446.0,7361138.9983,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,82
002709,天赐材料,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,36.83,92330452.0,3491334124.0,7508022.903152,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,83
601678,滨化股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.54,515475010.0,3463517734.0,1575461.328504,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,84
002008,大族激光,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,101.76,33419775.0,3420493249.0,10477244.279808,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,85
300033,同花顺,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,214.65,15249299.0,3350228433.0,16155417.6,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,86
600938,中国海油,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,31.91,101079075.0,3316243120.0,151668083.16294,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,87
688521,芯原股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,221.8,14346085.0,3218567680.0,11664800.75514,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,88
600105,永鼎股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,33.57,93364152.0,3187013864.0,4907916.550314,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,89
688630,芯碁微装,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,408.8,7499828.0,3062885397.0,5989129.14208,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,90
300136,信维通信,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,62.57,48000083.0,3058082322.0,6054076.967966,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,91
600988,赤峰黄金,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,36.49,83197689.0,3057067467.0,6934600.388522,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,92
300759,康龙化成,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,38.53,76580654.0,2988819126.0,7079053.818684,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,93
688099,晶晨股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,98.0,30175047.0,2987886927.0,4148535.951,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,94
601168,西部矿业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,36.24,81438339.0,2971107919.0,8635992.0,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,95
601600,中国铝业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,9.44,313313010.0,2970812182.0,16194292.932688,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,96
600900,长江电力,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,28.9,102175770.0,2952607877.0,70713149.19924,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,97
688048,长光华芯,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,289.51,9904799.0,2919896886.0,5103480.629793,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,98
600664,哈药股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.4,525467965.0,2904526948.0,1359995.33304,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,99
002414,高德红外,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,14.36,200926574.0,2895394931.0,6132777.051088,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,100
