security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis
603023,威帝股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.41,8001200.0,27146084.0,190318.035787,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301557,常友科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,74.63,367433.0,27140163.0,462937.494797,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300326,ST凯利,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.47,5014400.0,27130283.0,392205.937054,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
001255,博菲电气,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,21.7,1242000.0,27119992.0,188807.75928,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
605098,行动教育,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,54.78,491400.0,27091583.0,653257.5258,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002855,捷荣技术,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,8.64,3130600.0,27090862.0,212906.605248,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002224,三 力 士,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.28,8163200.0,27043138.0,295894.154272,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600814,杭州解百,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.23,4292000.0,27035029.0,457953.966554,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600658,电子城,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.61,7379310.0,27027499.0,403809.201245,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
688119,中钢洛耐,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.63,7332691.0,27024391.0,408375.0,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002561,徐家汇,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.18,4326100.0,27016009.0,256941.534,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002650,ST加加,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.62,4830500.0,26989972.0,622181.109088,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600692,亚通股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.32,5038000.0,26966523.0,187138.482048,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603370,华新精科,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,31.19,849282.0,26947308.0,545669.05,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002853,皮阿诺,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,18.87,1410000.0,26931153.0,345162.393876,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
688051,佳华科技,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,20.15,1321190.0,26887166.0,155828.01,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600724,宁波富达,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,4.71,5658701.0,26863911.0,680708.544441,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
000607,华媒控股,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.19,8345459.0,26846259.0,324645.79279,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600076,康欣新材,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,2.66,9991400.0,26707176.0,357648.535622,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300388,节能国祯,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.58,4008540.0,26704318.0,448125.787998,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002835,同为股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,10.92,2423300.0,26678487.0,239687.372652,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603880,南卫股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.87,4495900.0,26671813.0,169667.654,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
000955,欣龙控股,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.59,7392601.0,26671288.0,193283.805,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300230,永利股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,4.02,6591400.0,26667871.0,326911.803282,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300484,蓝海华腾,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,11.52,2298578.0,26667546.0,238652.8128,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002363,隆基机械,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.86,4511200.0,26654150.0,244300.646386,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002783,凯龙股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.0,3810242.0,26652631.0,349522.2129,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600278,东方创业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.03,4415900.0,26640906.0,518892.750171,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
000736,中交发展,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.83,6831300.0,26597429.0,286138.687583,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002344,海宁皮城,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.56,7384745.0,26587746.0,456611.63776,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
688588,凌志软件,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,8.35,3147777.0,26553600.0,325658.352505,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
