security_id,issuer_id,stock_code_5d,ticker_hk,name_zh,name_en,display_name,display_name_source,market,country_of_listing,trading_currency,security_type,identity_status,semantic_enrichment_status,shanghai_connect,shenzhen_connect,eligibility_status,source_release_id
HKEX:00152,HKISSUER-PROVISIONAL:00152,00152,00152.HK,深圳国际,SHENZHEN INT'L,深圳国际,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00165,HKISSUER-PROVISIONAL:00165,00165,00165.HK,中国光大控股,CHINA EB LTD,中国光大控股,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00168,HKISSUER-PROVISIONAL:00168,00168,00168.HK,青岛啤酒股份,TSINGTAO BREW,青岛啤酒股份,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00173,HKISSUER-PROVISIONAL:00173,00173,00173.HK,嘉华国际,K. WAH INT'L,嘉华国际,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00175,HKISSUER-PROVISIONAL:00175,00175,00175.HK,吉利汽车,GEELY AUTO,吉利汽车,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00177,HKISSUER-PROVISIONAL:00177,00177,00177.HK,江苏宁沪高速公路,JIANGSU EXPRESS,江苏宁沪高速公路,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00179,HKISSUER-PROVISIONAL:00179,00179,00179.HK,德昌电机控股,JOHNSON ELEC H,德昌电机控股,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00187,HKISSUER-PROVISIONAL:00187,00187,00187.HK,京城机电股份,JINGCHENG MAC,京城机电股份,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00189,HKISSUER-PROVISIONAL:00189,00189,00189.HK,东岳集团,DONGYUE GROUP,东岳集团,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00200,HKISSUER-PROVISIONAL:00200,00200,00200.HK,新濠国际发展,MELCO INT'L DEV,新濠国际发展,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00220,HKISSUER-PROVISIONAL:00220,00220,00220.HK,统一企业中国,U-PRESID CHINA,统一企业中国,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00241,HKISSUER-PROVISIONAL:00241,00241,00241.HK,阿里健康,ALI HEALTH,阿里健康,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00257,HKISSUER-PROVISIONAL:00257,00257,00257.HK,光大环境,EB ENVIRONMENT,光大环境,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
